BEGIN;
BEGIN
select
	s_acctbal,
	s_name,
	n_name,
	p_partkey,
	p_mfgr,
	s_address,
	s_phone,
	s_comment
from
	part,
	supplier,
	partsupp,
	nation,
	region
where
	p_partkey = ps_partkey
	and s_suppkey = ps_suppkey
	and p_size = 31
	and p_type like '%NICKEL'
	and s_nationkey = n_nationkey
	and n_regionkey = r_regionkey
	and r_name = 'AFRICA'
	and ps_supplycost = (
		select
			min(ps_supplycost)
		from
			partsupp,
			supplier,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and s_nationkey = n_nationkey
			and n_regionkey = r_regionkey
			and r_name = 'AFRICA'
	)
order by
	s_acctbal desc,
	n_name,
	s_name,
	p_partkey
LIMIT 100;
 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                |     s_phone     |                                              s_comment                                              
-----------+---------------------------+---------------------------+-----------+---------------------------+-----------------------------------------+-----------------+-----------------------------------------------------------------------------------------------------
   9997.98 | Supplier#000078004        | ETHIOPIA                  |   1378003 | Manufacturer#4            | 7K83zTraGcQAs1rsQgWoVW,1OsuaYhCHY9l qaE | 15-533-414-6562 | c requests cajole slyly according to t
   9997.48 | Supplier#000019768        | MOZAMBIQUE                |   1219767 | Manufacturer#3            | 8Uqb23Ad35UYUyei                        | 26-790-538-3259 | lithely furiously final instructions. enticingly ironic packa
   9997.04 | Supplier#000002522        | MOZAMBIQUE                |     52521 | Manufacturer#5            | n7Zcn1iWbfuwRX49I6e                     | 26-228-116-5164 | ans are blithely alongside of the waters. express pinto beans above the theodolites affix blit
   9995.38 | Supplier#000020360        | MOROCCO                   |    795352 | Manufacturer#4            | p4dmVmNU1tn gJuLfW06jfz6tHW2gzyx5Naz    | 25-995-683-3624 | ake at the blithely ironic packages. quickly even theodolites integra
   9994.58 | Supplier#000064608        | ETHIOPIA                  |   1664607 | Manufacturer#4            | CNfEH4TNM3UBuC9bjQmuoAV6ZLYH2a paJ      | 15-229-599-6397 | haggle furiously above the final, stealthy somas. furiously ironic d
   9994.39 | Supplier#000029390        | ALGERIA                   |    204387 | Manufacturer#1            | cTL,ng5NXEeXY3pmId,wNH                  | 10-840-869-1037 |  above the carefully regular requests. furiously silent foxes 
    9993.7 | Supplier#000074593        | MOZAMBIQUE                |   1949573 | Manufacturer#1            | CSdt06t2ATs                             | 26-527-926-8226 |  accounts haggle blithely even, special instructions. furiously 
    9992.7 | Supplier#000002543        | KENYA                     |    127539 | Manufacturer#5            | WKxIzDMHU82botDW9TRVqqQkxWyDmB3XCM1TP5K | 24-355-893-5866 | toward the special, final excuses wake ironic deposits. regular requests play. bold requests wak
   9990.09 | Supplier#000079263        | ETHIOPIA                  |    604244 | Manufacturer#5            | f26m8ZZNayibOi1lzlYKBWIBkQrUC3s,Try7i   | 15-533-754-4046 | ts integrate carefully; furiously special dolphins among the a
   9988.78 | Supplier#000040352        | MOZAMBIQUE                |   1390325 | Manufacturer#1            | TuNXhFA8IN1qmFFRg9ynBZyJ7qRv            | 26-991-201-8115 | . furiously bold sauternes cajole. instructions could ha
   9982.85 | Supplier#000090106        | ETHIOPIA                  |    815081 | Manufacturer#2            | ifYxblkRo2qoiwbR 3Wb5                   | 15-207-423-7347 | ide of the bold platelets. fluff
    9978.8 | Supplier#000051102        | ALGERIA                   |    301095 | Manufacturer#3            | ccdMNb8WZnCJtpdYrUdqFyqBSoN             | 10-441-712-3749 | tructions cajole closely regula
   9973.11 | Supplier#000093985        | MOROCCO                   |   1218948 | Manufacturer#4            | X FXvw37hPsL                            | 25-485-151-6918 | - ironic, regular requests are furiously careful excuses. blithely unus
   9959.96 | Supplier#000075774        | ETHIOPIA                  |    825757 | Manufacturer#2            | KIhccnC,,GHsRqN                         | 15-608-896-2042 |  are furiously about the carefully bold platelets. carefull
   9954.06 | Supplier#000050193        | ALGERIA                   |   1250192 | Manufacturer#2            | qcZjMquEMOM K2OiAvrlE2R2CvBHYrZcIbC     | 10-915-340-9660 | quiet theodolites. carefully expr
