BEGIN;
BEGIN
select
	p_brand,
	p_type,
	p_size,
	count(distinct ps_suppkey) as supplier_cnt
from
	partsupp,
	part
where
	p_partkey = ps_partkey
	and p_brand <> 'Brand#31'
	and p_type not like 'LARGE BURNISHED%'
	and p_size in (22, 33, 27, 10, 50, 25, 44, 14)
	and ps_suppkey not in (
		select
			s_suppkey
		from
			supplier
		where
			s_comment like '%Customer%Complaints%'
	)
group by
	p_brand,
	p_type,
	p_size
order by
	supplier_cnt desc,
	p_brand,
	p_type,
	p_size;
  p_brand   |          p_type           | p_size | supplier_cnt 
------------+---------------------------+--------+--------------
 Brand#12   | PROMO BRUSHED TIN         |     50 |          100
 Brand#12   | STANDARD POLISHED COPPER  |     14 |          100
 Brand#42   | PROMO BURNISHED NICKEL    |     27 |          100
 Brand#51   | LARGE ANODIZED TIN        |     25 |          100
 Brand#55   | PROMO BURNISHED STEEL     |     22 |           99
 Brand#23   | PROMO BURNISHED STEEL     |     14 |           96
 Brand#41   | LARGE POLISHED STEEL      |     50 |           96
 Brand#41   | SMALL POLISHED STEEL      |     33 |           96
 Brand#44   | ECONOMY ANODIZED STEEL    |     44 |           96
 Brand#51   | ECONOMY PLATED NICKEL     |     10 |           96
 Brand#32   | LARGE POLISHED COPPER     |     14 |           95
 Brand#11   | LARGE POLISHED COPPER     |     10 |           92
 Brand#13   | ECONOMY PLATED STEEL      |     33 |           92
 Brand#15   | PROMO ANODIZED BRASS      |     22 |           92
 Brand#21   | MEDIUM PLATED COPPER      |     22 |           92
 Brand#45   | MEDIUM POLISHED COPPER    |     33 |           92
 Brand#22   | SMALL BURNISHED BRASS     |     33 |           91
 Brand#11   | STANDARD BURNISHED COPPER |     14 |           88
 Brand#12   | STANDARD BRUSHED COPPER   |     33 |           88
 Brand#13   | STANDARD PLATED COPPER    |     33 |           88
 Brand#15   | MEDIUM ANODIZED COPPER    |     22 |           88
 Brand#21   | LARGE POLISHED NICKEL     |     10 |           88
 Brand#21   | MEDIUM BURNISHED TIN      |     22 |           88
 Brand#33   | SMALL BURNISHED STEEL     |     50 |           88
 Brand#35   | LARGE PLATED STEEL        |     25 |           88
 Brand#35   | MEDIUM BURNISHED STEEL    |     10 |           88
 Brand#35   | STANDARD PLATED TIN       |     44 |           88
 Brand#35   | STANDARD POLISHED COPPER  |     22 |           88
 Brand#41   | LARGE BRUSHED NICKEL      |     50 |           88
 Brand#41   | SMALL BURNISHED COPPER    |     33 |           88
 Brand#41   | SMALL PLATED STEEL        |     27 |           88
 Brand#42   | LARGE POLISHED STEEL      |     10 |           88
 Brand#42   | STANDARD BURNISHED STEEL  |     22 |           88
 Brand#43   | ECONOMY BURNISHED BRASS   |     50 |           88
 Brand#43   | MEDIUM BURNISHED COPPER   |     14 |           88
 Brand#44   | MEDIUM BRUSHED NICKEL     |     50 |           88
 Brand#52   | PROMO BRUSHED STEEL       |     22 |           88
 Brand#53   | PROMO POLISHED TIN        |     44 |           88
 Brand#54   | PROMO PLATED TIN          |     50 |           88
 Brand#55   | SMALL ANODIZED NICKEL     |     22 |           88
 Brand#11   | ECONOMY ANODIZED COPPER   |     27 |           84
 Brand#11   | ECONOMY POLISHED COPPER   |     50 |           84
 Brand#11   | PROMO ANODIZED NICKEL     |     33 |           84
 Brand#11   | PROMO ANODIZED TIN        |     14 |           84
 Brand#11   | STANDARD ANODIZED NICKEL  |     22 |           84
 Brand#12   | ECONOMY BRUSHED BRASS     |     14 |           84
 Brand#12   | MEDIUM BRUSHED BRASS      |     25 |           84
 Brand#12   | PROMO ANODIZED NICKEL     |     33 |           84
 Brand#12   | STANDARD ANODIZED STEEL   |     14 |           84
 Brand#13   | ECONOMY ANODIZED STEEL    |     33 |           84
 Brand#13   | PROMO POLISHED NICKEL     |     22 |           84
 Brand#14   | ECONOMY POLISHED TIN      |     50 |           84
 Brand#14   | LARGE BRUSHED NICKEL      |     27 |           84
 Brand#14   | LARGE POLISHED STEEL      |     10 |           84
 Brand#14   | MEDIUM POLISHED TIN       |     25 |           84
 Brand#14   | PROMO ANODIZED BRASS      |     25 |           84
 Brand#14   | PROMO BURNISHED BRASS     |     14 |           84
 Brand#14   | PROMO PLATED COPPER       |     14 |           84
 Brand#14   | PROMO PLATED STEEL        |     33 |           84
 Brand#14   | SMALL BRUSHED NICKEL      |     27 |           84
 Brand#15   | PROMO POLISHED TIN        |     22 |           84
 Brand#15   | SMALL BRUSHED COPPER      |     10 |           84
 Brand#15   | SMALL PLATED NICKEL       |     22 |           84
 Brand#15   | STANDARD BRUSHED NICKEL   |     25 |           84
 Brand#15   | STANDARD PLATED TIN       |     50 |           84
 Brand#22   | LARGE PLATED STEEL        |     33 |           84
 Brand#22   | MEDIUM BRUSHED TIN        |     22 |           84
